=== SERIAL LOG START ===

{'ID': 3, 'IR': 556, 'BPM': 42.92, 'AvgBPM': 51, 'TempC': 32.0, 'Counter': 17, 'AccelX': -0.62, 'AccelY': -0.96, 'AccelZ': 9.0, 'RotaX': -0.03, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728351, 'Lng': 100.775589, 'rssi': 56, 'timestamp': '2026-02-03T21:36:13.136471'}
{'ID': 3, 'IR': 652, 'BPM': 71.51, 'AvgBPM': 52, 'TempC': 32.0, 'Counter': 18, 'AccelX': -0.61, 'AccelY': -0.96, 'AccelZ': 9.02, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728339, 'Lng': 100.775587, 'rssi': 59, 'timestamp': '2026-02-03T21:36:18.151124'}
{'ID': 3, 'IR': 662, 'BPM': 103.45, 'AvgBPM': 66, 'TempC': 32.06, 'Counter': 19, 'AccelX': -0.62, 'AccelY': -0.96, 'AccelZ': 9.01, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728339, 'Lng': 100.775587, 'rssi': 55, 'timestamp': '2026-02-03T21:36:23.166737'}
{'ID': 3, 'IR': 703, 'BPM': 115.38, 'AvgBPM': 72, 'TempC': 32.0, 'Counter': 20, 'AccelX': -0.61, 'AccelY': -0.95, 'AccelZ': 9.01, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728344, 'Lng': 100.775582, 'rssi': 65, 'timestamp': '2026-02-03T21:36:28.183019'}
{'ID': 3, 'IR': 756, 'BPM': 65.29, 'AvgBPM': 66, 'TempC': 32.0, 'Counter': 21, 'AccelX': -0.61, 'AccelY': -0.96, 'AccelZ': 9.0, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.72834, 'Lng': 100.775584, 'rssi': 64, 'timestamp': '2026-02-03T21:36:33.198384'}
{'ID': 3, 'IR': 705, 'BPM': 63.9, 'AvgBPM': 59, 'TempC': 32.06, 'Counter': 22, 'AccelX': -0.62, 'AccelY': -0.96, 'AccelZ': 9.01, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.72833, 'Lng': 100.775587, 'rssi': 65, 'timestamp': '2026-02-03T21:36:38.212860'}
{'ID': 3, 'IR': 723, 'BPM': 83.45, 'AvgBPM': 57, 'TempC': 32.13, 'Counter': 23, 'AccelX': -0.62, 'AccelY': -0.97, 'AccelZ': 9.02, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728324, 'Lng': 100.775593, 'rssi': 68, 'timestamp': '2026-02-03T21:36:43.228959'}
{'ID': 3, 'IR': 628, 'BPM': 19.5, 'AvgBPM': 50, 'TempC': 32.06, 'Counter': 24, 'AccelX': -0.62, 'AccelY': -0.97, 'AccelZ': 8.99, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728323, 'Lng': 100.775594, 'rssi': 63, 'timestamp': '2026-02-03T21:36:48.244283'}
{'ID': 3, 'IR': 706, 'BPM': 23.28, 'AvgBPM': 50, 'TempC': 31.94, 'Counter': 25, 'AccelX': -0.61, 'AccelY': -0.97, 'AccelZ': 9.0, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728329, 'Lng': 100.77559, 'rssi': 77, 'timestamp': '2026-02-03T21:36:53.259584'}
{'ID': 3, 'IR': 705, 'BPM': 26.35, 'AvgBPM': 53, 'TempC': 31.94, 'Counter': 26, 'AccelX': -0.62, 'AccelY': -0.96, 'AccelZ': 9.0, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728328, 'Lng': 100.775582, 'rssi': 81, 'timestamp': '2026-02-03T21:36:58.274662'}
{'ID': 3, 'IR': 711, 'BPM': 83.45, 'AvgBPM': 54, 'TempC': 32.13, 'Counter': 27, 'AccelX': -0.61, 'AccelY': -0.96, 'AccelZ': 9.02, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728329, 'Lng': 100.775581, 'rssi': 82, 'timestamp': '2026-02-03T21:37:03.290079'}
{'ID': 3, 'IR': 697, 'BPM': 26.11, 'AvgBPM': 53, 'TempC': 32.13, 'Counter': 28, 'AccelX': -0.61, 'AccelY': -0.96, 'AccelZ': 9.02, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728334, 'Lng': 100.775575, 'rssi': 84, 'timestamp': '2026-02-03T21:37:08.305271'}
{'ID': 3, 'IR': 651, 'BPM': 35.31, 'AvgBPM': 50, 'TempC': 32.06, 'Counter': 29, 'AccelX': -0.62, 'AccelY': -0.95, 'AccelZ': 9.02, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728335, 'Lng': 100.775573, 'rssi': 86, 'timestamp': '2026-02-03T21:37:13.320622'}
{'ID': 3, 'IR': 640, 'BPM': 103.45, 'AvgBPM': 48, 'TempC': 32.13, 'Counter': 30, 'AccelX': -0.61, 'AccelY': -0.96, 'AccelZ': 9.02, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.72833, 'Lng': 100.77557, 'rssi': 86, 'timestamp': '2026-02-03T21:37:18.335687'}
{'ID': 3, 'IR': 740, 'BPM': 75.09, 'AvgBPM': 56, 'TempC': 32.06, 'Counter': 31, 'AccelX': -0.61, 'AccelY': -0.96, 'AccelZ': 9.01, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728325, 'Lng': 100.775572, 'rssi': 87, 'timestamp': '2026-02-03T21:37:23.350183'}
{'ID': 3, 'IR': 646, 'BPM': 50.89, 'AvgBPM': 58, 'TempC': 31.94, 'Counter': 32, 'AccelX': -0.61, 'AccelY': -0.97, 'AccelZ': 9.0, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.72832, 'Lng': 100.77558, 'rssi': 88, 'timestamp': '2026-02-03T21:37:28.367335'}
{'ID': 3, 'IR': 685, 'BPM': 66.74, 'AvgBPM': 62, 'TempC': 32.13, 'Counter': 33, 'AccelX': -0.62, 'AccelY': -0.96, 'AccelZ': 9.0, 'RotaX': -0.04, 'RotaY': 0.03, 'RotaZ': -0.02, 'Lat': 13.728317, 'Lng': 100.775584, 'rssi': 91, 'timestamp': '2026-02-03T21:37:33.383034'}
